id,creation_date,post_id,vote_type_id
22673267,2012-01-02 00:00:00+00:00,8696309,7
14014615,2011-04-07 00:00:00+00:00,5466829,8
115667147,2016-06-09 00:00:00+00:00,37662554,8
170514629,2018-09-02 00:00:00+00:00,51986160,9
3979933,2009-09-10 00:00:00+00:00,1406321,9
110718979,2016-03-30 00:00:00+00:00,36068678,9
58757845,2013-12-10 00:00:00+00:00,20472972,9
123163184,2016-09-29 00:00:00+00:00,39760138,12
69254202,2014-06-03 00:00:00+00:00,24004378,11
29253724,2012-06-14 00:00:00+00:00,11041323,11
32541165,2012-08-28 00:00:00+00:00,12161280,11
155053043,2018-01-15 00:00:00+00:00,48217593,8
122199930,2016-09-14 00:00:00+00:00,39320835,9
26085177,2012-03-29 00:00:00+00:00,9654952,8
27408164,2012-05-01 00:00:00+00:00,10394852,11
19594820,2011-09-28 00:00:00+00:00,7590033,11
106835853,2016-02-04 00:00:00+00:00,35209487,11
158444177,2018-03-05 00:00:00+00:00,49053285,8
95562706,2015-08-18 00:00:00+00:00,32067895,11
62553240,2014-02-13 00:00:00+00:00,21755418,11
7543681,2010-05-11 00:00:00+00:00,2796997,8
162116169,2018-04-25 00:00:00+00:00,50024855,11
164957479,2018-06-07 00:00:00+00:00,49807620,9
133760697,2017-03-04 00:00:00+00:00,42593309,11
113936543,2016-05-14 00:00:00+00:00,30861762,8
130267148,2017-01-15 00:00:00+00:00,41657963,11
164416769,2018-05-30 00:00:00+00:00,50607821,11
57384241,2013-11-15 00:00:00+00:00,19665038,9
52055862,2013-08-12 00:00:00+00:00,18185903,11
14093564,2011-04-10 00:00:00+00:00,5551548,9
111166408,2016-04-05 00:00:00+00:00,36433610,9
33898504,2012-09-26 00:00:00+00:00,12606915,11
27783875,2012-05-10 00:00:00+00:00,10381399,9
159477919,2018-03-19 00:00:00+00:00,49362955,11
108882188,2016-03-03 00:00:00+00:00,35599233,8
101376697,2015-11-14 00:00:00+00:00,30671421,11
94467847,2015-07-31 00:00:00+00:00,2341502,11
6969632,2010-04-06 00:00:00+00:00,2585418,11
22181663,2011-12-15 00:00:00+00:00,8100443,8
82533157,2015-01-28 00:00:00+00:00,28199515,11
35584324,2012-10-29 00:00:00+00:00,12930325,8
128777061,2016-12-21 00:00:00+00:00,41189949,11
34026087,2012-09-28 00:00:00+00:00,12648078,11
96196581,2015-08-27 00:00:00+00:00,32248993,11
158881858,2018-03-11 00:00:00+00:00,49213081,11
13176942,2011-03-06 00:00:00+00:00,5207682,11
159851125,2018-03-24 00:00:00+00:00,49461434,11
99355696,2015-10-14 00:00:00+00:00,33136632,11
101538674,2015-11-17 00:00:00+00:00,33757786,11
100309773,2015-10-29 00:00:00+00:00,33254617,9
119159952,2016-08-01 00:00:00+00:00,38691905,11
65769959,2014-04-03 00:00:00+00:00,22848950,11
30637273,2012-07-16 00:00:00+00:00,11368640,9
174658025,2018-11-06 00:00:00+00:00,43442893,8
153597844,2017-12-19 00:00:00+00:00,47889280,11
75416485,2014-09-21 00:00:00+00:00,25777649,8
64165553,2014-03-10 00:00:00+00:00,22296323,11
50246215,2013-07-10 00:00:00+00:00,17450929,9
127190142,2016-11-28 00:00:00+00:00,40598483,9
42805968,2013-03-08 00:00:00+00:00,15295608,11
160444759,2018-04-02 00:00:00+00:00,48581392,11
13010724,2011-02-27 00:00:00+00:00,1755297,11
79313777,2014-12-01 00:00:00+00:00,27222784,11
49236821,2013-06-22 00:00:00+00:00,17214472,9
120177364,2016-08-16 00:00:00+00:00,38731341,9
23351404,2012-01-20 00:00:00+00:00,8935439,11
32196188,2012-08-21 00:00:00+00:00,12031668,9
126735253,2016-11-21 00:00:00+00:00,40725113,12
40783352,2013-02-03 00:00:00+00:00,8648274,11
19400778,2011-09-22 00:00:00+00:00,7518730,11
83775604,2015-02-18 00:00:00+00:00,28588518,11
123080243,2016-09-28 00:00:00+00:00,39737291,11
5433688,2010-01-03 00:00:00+00:00,1993955,11
113917430,2016-05-14 00:00:00+00:00,37176387,9
47244514,2013-05-20 00:00:00+00:00,16564906,9
50202925,2013-07-10 00:00:00+00:00,17566675,11
100451118,2015-10-31 00:00:00+00:00,17242072,8
72150856,2014-07-24 00:00:00+00:00,24926817,11
151438574,2017-11-16 00:00:00+00:00,47333417,11
159601006,2018-03-21 00:00:00+00:00,49399379,12
158113209,2018-02-28 00:00:00+00:00,48825431,9
92200283,2015-06-28 00:00:00+00:00,31105930,4
112409727,2016-04-22 00:00:00+00:00,36792773,11
132717854,2017-02-17 00:00:00+00:00,42306124,4
51835418,2013-08-07 00:00:00+00:00,18113503,11
110975841,2016-04-02 00:00:00+00:00,36367446,11
134172441,2017-03-09 00:00:00+00:00,42707056,11
73452483,2014-08-16 00:00:00+00:00,25146725,9
175464540,2018-11-19 00:00:00+00:00,53372371,11
27348613,2012-04-30 00:00:00+00:00,10219781,8
105214422,2016-01-13 00:00:00+00:00,34763998,11
106229795,2016-01-27 00:00:00+00:00,35043551,11
78683462,2014-11-19 00:00:00+00:00,27013441,11
103410148,2015-12-15 00:00:00+00:00,34259655,11
142073458,2017-07-04 00:00:00+00:00,44899657,11
82520915,2015-01-28 00:00:00+00:00,28195903,11
108610672,2016-02-29 00:00:00+00:00,35468461,8
136259873,2017-04-08 00:00:00+00:00,34863684,11
41802712,2013-02-20 00:00:00+00:00,14990086,11
23770303,2012-01-31 00:00:00+00:00,9053683,9
67899099,2014-05-09 00:00:00+00:00,23258010,9
32713103,2012-08-31 00:00:00+00:00,12217774,11
144197579,2017-08-02 00:00:00+00:00,45440691,11
6753020,2010-03-23 00:00:00+00:00,2456882,9
141621539,2017-06-27 00:00:00+00:00,44778053,11
109384481,2016-03-10 00:00:00+00:00,35808371,9
145826591,2017-08-26 00:00:00+00:00,43357443,11
82555296,2015-01-29 00:00:00+00:00,18543222,8
127993492,2016-12-09 00:00:00+00:00,41061799,11
49343118,2013-06-24 00:00:00+00:00,5641116,11
56357036,2013-10-29 00:00:00+00:00,19649587,11
163740552,2018-05-20 00:00:00+00:00,50417390,8
61769381,2014-01-31 00:00:00+00:00,21389141,9
71512129,2014-07-13 00:00:00+00:00,24673764,11
92197748,2015-06-28 00:00:00+00:00,31060832,11
16228089,2011-06-22 00:00:00+00:00,6415328,8
154192755,2017-12-31 00:00:00+00:00,48019423,8
4655378,2009-11-04 00:00:00+00:00,1473483,8
50677574,2013-07-18 00:00:00+00:00,17648657,8
69153872,2014-05-31 00:00:00+00:00,23921733,8
31345160,2012-08-01 00:00:00+00:00,11520127,8
41158757,2013-02-09 00:00:00+00:00,14790296,11
85592388,2015-03-20 00:00:00+00:00,29167909,11
161306767,2018-04-13 00:00:00+00:00,49783481,11
83029404,2015-02-05 00:00:00+00:00,28352897,12
59397701,2013-12-20 00:00:00+00:00,20698541,11
144188030,2017-08-02 00:00:00+00:00,45427760,9
88371449,2015-05-03 00:00:00+00:00,30013150,11
38137619,2012-12-15 00:00:00+00:00,13720104,9
139677743,2017-05-29 00:00:00+00:00,44244770,11
